"date","repo","message"
"2021-08-13","eventjuicer/services","February 9th announcement emails  Email titles:  ENG : E-commerce Berlin Expo 2022 - official date announced!  DE: E-commerce Berlin Expo 2022 - das offizielle Datum ist bekannt!"
"2021-08-16","ecommerceberlin/ecommerceberlin.com","Legal files update"
"2021-08-17","ecommerceberlin/ecommerceberlin.com","Merge pull request #56 from jprzybylski4/with-site-components  Legal files update"
"2021-08-17","ecommerceberlin/admin","https://github.com/ecommerceberlin/admin/issues/20"
"2021-08-17","ecommerceberlin/admin","https://github.com/ecommerceberlin/admin/issues/19"
"2021-08-17","ecommerceberlin/admin","updated base libs"
"2021-08-18","az/eventjuicer-api","AUTH_CHECK endpoint"
"2021-08-18","eventjuicer/services","ebe6-new-date-9-feb-2022"
"2021-08-18","ecommerceberlin/admin","unstyle buttin when no valid admin set"
"2021-08-18","ecommerceberlin/admin","Update package-lock.json"
"2021-08-19","ecommerceberlin/targiehandlu.pl","added open stage benefits"
"2021-08-19","ecommerceberlin/targiehandlu.pl","fixed CFP FAQ"
"2021-08-19","ecommerceberlin/targiehandlu.pl","4.1.7 (fixed text input onChange behaviour)"
"2021-08-19","ecommerceberlin/targiehandlu.pl","speaking update"
"2021-08-19","ecommerceberlin/site-components","4.1.7"
"2021-08-19","ecommerceberlin/site-components","temp"
"2021-08-19","ecommerceberlin/site-components","https://github.com/ecommerceberlin/targiehandlu.pl/issues/93"
"2021-08-24","az/eventjuicer-api","sort by ticket stats (3,2,1,0)"
"2021-08-24","az/eventjuicer-api","get event_id from ticket"
"2021-08-24","az/eventjuicer-api","ticket show action"
"2021-08-24","az/eventjuicer-api","use TicketsSold to handle aggregation"
"2021-08-24","az/eventjuicer-api","admin user logging endpoint"
"2021-08-24","ecommerceberlin/admin","show ticket limit instead of remaining limit"
"2021-08-24","ecommerceberlin/admin","fix ticket status handling"
"2021-08-24","ecommerceberlin/admin","ticket role, ticket tags - fix styling issues"
"2021-08-24","ecommerceberlin/admin","ticketlist view overhaul"
"2021-08-24","ecommerceberlin/admin","remove unnecessary saga call"
"2021-08-24","ecommerceberlin/admin","handle AUTH_CHECK"
"2021-08-24","ecommerceberlin/admin","https://github.com/ecommerceberlin/admin/issues/44"
"2021-08-24","ecommerceberlin/admin","refactoring"
"2021-08-25","ecommerceberlin/site-components","remove console.log"
"2021-08-25","az/eventjuicer-api","fixed sorting tickets"