"repo","date","message"
"eventjuicer/services","2021-08-13","February 9th announcement emails  Email titles:  ENG : E-commerce Berlin Expo 2022 - official date announced!  DE: E-commerce Berlin Expo 2022 - das offizielle Datum ist bekannt!"
"ecommerceberlin/ecommerceberlin.com","2021-08-16","Legal files update"
"ecommerceberlin/ecommerceberlin.com","2021-08-17","Merge pull request #56 from jprzybylski4/with-site-components  Legal files update"
"ecommerceberlin/admin","2021-08-17","https://github.com/ecommerceberlin/admin/issues/20"
"ecommerceberlin/admin","2021-08-17","https://github.com/ecommerceberlin/admin/issues/19"
"ecommerceberlin/admin","2021-08-17","updated base libs"
"eventjuicer/services","2021-08-18","ebe6-new-date-9-feb-2022"
"az/eventjuicer-api","2021-08-18","AUTH_CHECK endpoint"
"ecommerceberlin/admin","2021-08-18","unstyle buttin when no valid admin set"
"ecommerceberlin/admin","2021-08-18","Update package-lock.json"
"ecommerceberlin/targiehandlu.pl","2021-08-19","added open stage benefits"
"ecommerceberlin/targiehandlu.pl","2021-08-19","fixed CFP FAQ"
"ecommerceberlin/targiehandlu.pl","2021-08-19","4.1.7 (fixed text input onChange behaviour)"
"ecommerceberlin/targiehandlu.pl","2021-08-19","speaking update"
"ecommerceberlin/site-components","2021-08-19","4.1.7"
"ecommerceberlin/site-components","2021-08-19","temp"
"ecommerceberlin/site-components","2021-08-19","https://github.com/ecommerceberlin/targiehandlu.pl/issues/93"
"az/eventjuicer-api","2021-08-24","sort by ticket stats (3,2,1,0)"
"az/eventjuicer-api","2021-08-24","get event_id from ticket"
"az/eventjuicer-api","2021-08-24","ticket show action"
"az/eventjuicer-api","2021-08-24","use TicketsSold to handle aggregation"
"az/eventjuicer-api","2021-08-24","admin user logging endpoint"
"ecommerceberlin/admin","2021-08-24","show ticket limit instead of remaining limit"
"ecommerceberlin/admin","2021-08-24","fix ticket status handling"
"ecommerceberlin/admin","2021-08-24","ticket role, ticket tags - fix styling issues"
"ecommerceberlin/admin","2021-08-24","ticketlist view overhaul"
"ecommerceberlin/admin","2021-08-24","remove unnecessary saga call"
"ecommerceberlin/admin","2021-08-24","handle AUTH_CHECK"
"ecommerceberlin/admin","2021-08-24","https://github.com/ecommerceberlin/admin/issues/44"
"ecommerceberlin/admin","2021-08-24","refactoring"
"az/eventjuicer-api","2021-08-25","fixed sorting tickets"
"ecommerceberlin/site-components","2021-08-25","remove console.log"